Event;Time;Job 1;Job 2;Stop time;Status;Queue length;Queue;MoE1;MoE2
Start;0;1.14;0.15;501;0;0;nil;1;0
J2;0.15;1.14;0.45;2.94;1;0;nil;1;0
J2;0.45;1.14;0.46;2.94;1;1;J2;0.33;1
J2;0.46;1.14;0.79;2.94;1;2;J2, J2;0.33;2
J2;0.79;1.14;0.94;2.94;1;3;J2, J2, J2;0.19;3
J2;0.94;1.14;0.98;2.94;1;4;J2, J2, J2, J2;0.16;4
J2;0.98;1.14;1.07;2.94;1;5;J2, J2, J2, J2, J2;0.15;5
J2;1.07;1.14;1.18;2.94;1;6;J2, J2, J2, J2, J2, J2;0.14;6
J2;1.14;1.69;1.18;2.94;1;7;J2, J2, J2, J2, J2, J2, J1;0.13;7
J2;1.18;1.69;1.35;2.94;1;8;J2, J2, J2, J2, J2, J2, J1, J2;0.13;8
J2;1.35;1.69;1.43;2.94;1;9;J2, J2, J2, J2, J2, J2, J1, J2, J2;0.11;9
J2;1.43;1.69;1.96;2.94;1;10;J2, J2, J2, J2, J2, J2, J1, J2, J2, J2;0.1;10
J2;1.69;2.88;1.96;2.94;1;11;J2, J2, J2, J2, J2, J2, J1, J2, J2, J2, ...;0.09;11
J2;1.96;2.88;2.03;2.94;1;12;J2, J2, J2, J2, J2, J2, J1, J2, J2, J2, ...;0.08;12
J2;2.03;2.88;2.62;2.94;1;13;J2, J2, J2, J2, J2, J2, J1, J2, J2, J2, ...;0.07;13
J2;2.62;2.88;2.9;2.94;1;14;J2, J2, J2, J2, J2, J2, J1, J2, J2, J2, ...;0.06;14
J2;2.88;3.15;2.9;2.94;1;15;J2, J2, J2, J2, J2, J2, J1, J2, J2, J2, ...;0.05;15
J2;2.9;3.15;2.99;2.94;1;16;J2, J2, J2, J2, J2, J2, J1, J2, J2, J2, ...;0.05;16
J2;2.94;3.15;2.99;5.4;1;15;J2, J2, J2, J2, J2, J1, J2, J2, J2, J1, ...;0.05;16
J2;2.99;3.15;3.04;5.4;1;16;J2, J2, J2, J2, J2, J1, J2, J2, J2, J1, ...;0.05;16
J2;3.04;3.15;3.31;5.4;1;17;J2, J2, J2, J2, J2, J1, J2, J2, J2, J1, ...;0.05;17
J2;3.15;3.65;3.31;5.4;1;18;J2, J2, J2, J2, J2, J1, J2, J2, J2, J1, ...;0.05;18
J2;3.31;3.65;3.37;5.4;1;19;J2, J2, J2, J2, J2, J1, J2, J2, J2, J1, ...;0.05;19
J2;3.37;3.65;3.44;5.4;1;20;J2, J2, J2, J2, J2, J1, J2, J2, J2, J1, ...;0.04;20
J2;3.44;3.65;3.55;5.4;1;21;J2, J2, J2, J2, J2, J1, J2, J2, J2, J1, ...;0.04;21
J2;3.55;3.65;3.75;5.4;1;22;J2, J2, J2, J2, J2, J1, J2, J2, J2, J1, ...;0.04;22
J2;3.65;4.01;3.75;5.4;1;23;J2, J2, J2, J2, J2, J1, J2, J2, J2, J1, ...;0.04;23
J2;3.75;4.01;4.14;5.4;1;24;J2, J2, J2, J2, J2, J1, J2, J2, J2, J1, ...;0.04;24
J2;4.01;4.61;4.14;5.4;1;25;J2, J2, J2, J2, J2, J1, J2, J2, J2, J1, ...;0.04;25
J2;4.14;4.61;4.28;5.4;1;26;J2, J2, J2, J2, J2, J1, J2, J2, J2, J1, ...;0.04;26
