Event;Time;Job 1;Job 2;Stop time;Status;Queue length;Queue;MoE1;MoE2
Start;0;0;0.49;501;0;0;nil;1;0
J1;0;0.01;0.49;1.82;1;0;nil;1;0
J1;0.01;0.39;0.49;1.82;1;1;J1;0;1
J1;0.39;0.49;0.49;1.82;1;2;J1, J1;0;2
J1;0.49;1.84;0.49;1.82;1;3;J1, J1, J1;0;3
J1;0.49;1.84;0.63;1.82;1;4;J1, J1, J1, J2;0;4
J1;0.63;1.84;0.64;1.82;1;5;J1, J1, J1, J2, J2;0;5
J1;0.64;1.84;0.65;1.82;1;6;J1, J1, J1, J2, J2, J2;0;6
J1;0.65;1.84;0.97;1.82;1;7;J1, J1, J1, J2, J2, J2, J2;0;7
J1;0.97;1.84;1.4;1.82;1;8;J1, J1, J1, J2, J2, J2, J2, J2;0;8
J1;1.4;1.84;1.49;1.82;1;9;J1, J1, J1, J2, J2, J2, J2, J2, J2;0;9
J1;1.49;1.84;1.68;1.82;1;10;J1, J1, J1, J2, J2, J2, J2, J2, J2, J2;0;10
J1;1.68;1.84;1.73;1.82;1;11;J1, J1, J1, J2, J2, J2, J2, J2, J2, J2, ...;0;11
J1;1.73;1.84;1.87;1.82;1;12;J1, J1, J1, J2, J2, J2, J2, J2, J2, J2, ...;0;12
J1;1.82;1.84;1.87;4.01;1;11;J1, J1, J2, J2, J2, J2, J2, J2, J2, J2, ...;0;12
J1;1.84;2.31;1.87;4.01;1;12;J1, J1, J2, J2, J2, J2, J2, J2, J2, J2, ...;0;12
J1;1.87;2.31;1.9;4.01;1;13;J1, J1, J2, J2, J2, J2, J2, J2, J2, J2, ...;0;13
J1;1.9;2.31;2.24;4.01;1;14;J1, J1, J2, J2, J2, J2, J2, J2, J2, J2, ...;0;14
J1;2.24;2.31;2.26;4.01;1;15;J1, J1, J2, J2, J2, J2, J2, J2, J2, J2, ...;0;15
J1;2.26;2.31;2.28;4.01;1;16;J1, J1, J2, J2, J2, J2, J2, J2, J2, J2, ...;0;16
J1;2.28;2.31;2.61;4.01;1;17;J1, J1, J2, J2, J2, J2, J2, J2, J2, J2, ...;0;17
J1;2.31;4.49;2.61;4.01;1;18;J1, J1, J2, J2, J2, J2, J2, J2, J2, J2, ...;0;18
J1;2.61;4.49;3.02;4.01;1;19;J1, J1, J2, J2, J2, J2, J2, J2, J2, J2, ...;0;19
J1;3.02;4.49;3.07;4.01;1;20;J1, J1, J2, J2, J2, J2, J2, J2, J2, J2, ...;0;20
J1;3.07;4.49;3.21;4.01;1;21;J1, J1, J2, J2, J2, J2, J2, J2, J2, J2, ...;0;21
J1;3.21;4.49;3.68;4.01;1;22;J1, J1, J2, J2, J2, J2, J2, J2, J2, J2, ...;0;22
J1;3.68;4.49;4.15;4.01;1;23;J1, J1, J2, J2, J2, J2, J2, J2, J2, J2, ...;0;23
J1;4.01;4.49;4.15;5.89;1;22;J1, J2, J2, J2, J2, J2, J2, J2, J2, J2, ...;0;23
J1;4.15;4.49;4.47;5.89;1;23;J1, J2, J2, J2, J2, J2, J2, J2, J2, J2, ...;0;23
J1;4.47;4.49;4.64;5.89;1;24;J1, J2, J2, J2, J2, J2, J2, J2, J2, J2, ...;0;24
J1;4.49;4.66;4.64;5.89;1;25;J1, J2, J2, J2, J2, J2, J2, J2, J2, J2, ...;0;25
J1;4.64;4.66;4.94;5.89;1;26;J1, J2, J2, J2, J2, J2, J2, J2, J2, J2, ...;0;26
J1;4.66;4.94;4.94;5.89;1;27;J1, J2, J2, J2, J2, J2, J2, J2, J2, J2, ...;0;27
J1;4.94;5.58;4.94;5.89;1;28;J1, J2, J2, J2, J2, J2, J2, J2, J2, J2, ...;0;28
J1;4.94;5.58;5.16;5.89;1;29;J1, J2, J2, J2, J2, J2, J2, J2, J2, J2, ...;0;29
J1;5.16;5.58;5.37;5.89;1;30;J1, J2, J2, J2, J2, J2, J2, J2, J2, J2, ...;0;30
J1;5.37;5.58;5.71;5.89;1;31;J1, J2, J2, J2, J2, J2, J2, J2, J2, J2, ...;0;31
J1;5.58;5.64;5.71;5.89;1;32;J1, J2, J2, J2, J2, J2, J2, J2, J2, J2, ...;0;32
J1;5.64;5.82;5.71;5.89;1;33;J1, J2, J2, J2, J2, J2, J2, J2, J2, J2, ...;0;33
J1;5.71;5.82;5.79;5.89;1;34;J1, J2, J2, J2, J2, J2, J2, J2, J2, J2, ...;0;34
J1;5.79;5.82;5.8;5.89;1;35;J1, J2, J2, J2, J2, J2, J2, J2, J2, J2, ...;0;35
J1;5.8;5.82;6.03;5.89;1;36;J1, J2, J2, J2, J2, J2, J2, J2, J2, J2, ...;0;36
J1;5.82;6.24;6.03;5.89;1;37;J1, J2, J2, J2, J2, J2, J2, J2, J2, J2, ...;0;37
J1;5.89;6.24;6.03;7.8;1;36;J2, J2, J2, J2, J2, J2, J2, J2, J2, J1, ...;0;37
J1;6.03;6.24;6.32;7.8;1;37;J2, J2, J2, J2, J2, J2, J2, J2, J2, J1, ...;0;37
J1;6.24;6.94;6.32;7.8;1;38;J2, J2, J2, J2, J2, J2, J2, J2, J2, J1, ...;0;38
J1;6.32;6.94;6.49;7.8;1;39;J2, J2, J2, J2, J2, J2, J2, J2, J2, J1, ...;0;39
J1;6.49;6.94;6.96;7.8;1;40;J2, J2, J2, J2, J2, J2, J2, J2, J2, J1, ...;0;40
J1;6.94;7.11;6.96;7.8;1;41;J2, J2, J2, J2, J2, J2, J2, J2, J2, J1, ...;0;41
J1;6.96;7.11;6.98;7.8;1;42;J2, J2, J2, J2, J2, J2, J2, J2, J2, J1, ...;0;42
J1;6.98;7.11;7.06;7.8;1;43;J2, J2, J2, J2, J2, J2, J2, J2, J2, J1, ...;0;43
J1;7.06;7.11;7.38;7.8;1;44;J2, J2, J2, J2, J2, J2, J2, J2, J2, J1, ...;0;44
J1;7.11;7.84;7.38;7.8;1;45;J2, J2, J2, J2, J2, J2, J2, J2, J2, J1, ...;0;45
J1;7.38;7.84;7.44;7.8;1;46;J2, J2, J2, J2, J2, J2, J2, J2, J2, J1, ...;0;46
J1;7.44;7.84;7.59;7.8;1;47;J2, J2, J2, J2, J2, J2, J2, J2, J2, J1, ...;0;47
J1;7.59;7.84;7.79;7.8;1;48;J2, J2, J2, J2, J2, J2, J2, J2, J2, J1, ...;0;48
J1;7.79;7.84;7.79;7.8;1;49;J2, J2, J2, J2, J2, J2, J2, J2, J2, J1, ...;0;49
J1;7.79;7.84;7.86;7.8;1;50;J2, J2, J2, J2, J2, J2, J2, J2, J2, J1, ...;0;50
J2;7.8;7.84;7.86;10.31;1;49;J2, J2, J2, J2, J2, J2, J2, J2, J1, J2, ...;0;50
J2;7.84;8.62;7.86;10.31;1;50;J2, J2, J2, J2, J2, J2, J2, J2, J1, J2, ...;0;50
J2;7.86;8.62;8.99;10.31;1;51;J2, J2, J2, J2, J2, J2, J2, J2, J1, J2, ...;0;51
J2;8.62;10.03;8.99;10.31;1;52;J2, J2, J2, J2, J2, J2, J2, J2, J1, J2, ...;0;52
J2;8.99;10.03;9.01;10.31;1;53;J2, J2, J2, J2, J2, J2, J2, J2, J1, J2, ...;0;53
J2;9.01;10.03;9.3;10.31;1;54;J2, J2, J2, J2, J2, J2, J2, J2, J1, J2, ...;0;54
J2;9.3;10.03;9.4;10.31;1;55;J2, J2, J2, J2, J2, J2, J2, J2, J1, J2, ...;0;55
J2;9.4;10.03;9.42;10.31;1;56;J2, J2, J2, J2, J2, J2, J2, J2, J1, J2, ...;0;56
J2;9.42;10.03;9.76;10.31;1;57;J2, J2, J2, J2, J2, J2, J2, J2, J1, J2, ...;0;57
J2;9.76;10.03;10.15;10.31;1;58;J2, J2, J2, J2, J2, J2, J2, J2, J1, J2, ...;0;58
J2;10.03;10.04;10.15;10.31;1;59;J2, J2, J2, J2, J2, J2, J2, J2, J1, J2, ...;0;59
J2;10.04;10.21;10.15;10.31;1;60;J2, J2, J2, J2, J2, J2, J2, J2, J1, J2, ...;0;60
J2;10.15;10.21;10.28;10.31;1;61;J2, J2, J2, J2, J2, J2, J2, J2, J1, J2, ...;0;61
J2;10.21;10.5;10.28;10.31;1;62;J2, J2, J2, J2, J2, J2, J2, J2, J1, J2, ...;0;62
J2;10.28;10.5;10.76;10.31;1;63;J2, J2, J2, J2, J2, J2, J2, J2, J1, J2, ...;0;63
J2;10.31;10.5;10.76;13.07;1;62;J2, J2, J2, J2, J2, J2, J2, J1, J2, J2, ...;0;63
J2;10.5;11.44;10.76;13.07;1;63;J2, J2, J2, J2, J2, J2, J2, J1, J2, J2, ...;0;63
J2;10.76;11.44;10.82;13.07;1;64;J2, J2, J2, J2, J2, J2, J2, J1, J2, J2, ...;0;64
J2;10.82;11.44;11.17;13.07;1;65;J2, J2, J2, J2, J2, J2, J2, J1, J2, J2, ...;0;65
J2;11.17;11.44;11.28;13.07;1;66;J2, J2, J2, J2, J2, J2, J2, J1, J2, J2, ...;0;66
J2;11.28;11.44;11.5;13.07;1;67;J2, J2, J2, J2, J2, J2, J2, J1, J2, J2, ...;0;67
J2;11.44;11.67;11.5;13.07;1;68;J2, J2, J2, J2, J2, J2, J2, J1, J2, J2, ...;0;68
J2;11.5;11.67;11.9;13.07;1;69;J2, J2, J2, J2, J2, J2, J2, J1, J2, J2, ...;0;69
J2;11.67;11.89;11.9;13.07;1;70;J2, J2, J2, J2, J2, J2, J2, J1, J2, J2, ...;0;70
J2;11.89;12.97;11.9;13.07;1;71;J2, J2, J2, J2, J2, J2, J2, J1, J2, J2, ...;0;71
J2;11.9;12.97;13.67;13.07;1;72;J2, J2, J2, J2, J2, J2, J2, J1, J2, J2, ...;0;72
J2;12.97;13.79;13.67;13.07;1;73;J2, J2, J2, J2, J2, J2, J2, J1, J2, J2, ...;0;73
J2;13.07;13.79;13.67;16.33;1;72;J2, J2, J2, J2, J2, J2, J1, J2, J2, J2, ...;0;73
J2;13.67;13.79;13.72;16.33;1;73;J2, J2, J2, J2, J2, J2, J1, J2, J2, J2, ...;0;73
J2;13.72;13.79;13.78;16.33;1;74;J2, J2, J2, J2, J2, J2, J1, J2, J2, J2, ...;0;74
J2;13.78;13.79;14.44;16.33;1;75;J2, J2, J2, J2, J2, J2, J1, J2, J2, J2, ...;0;75
J2;13.79;14.59;14.44;16.33;1;76;J2, J2, J2, J2, J2, J2, J1, J2, J2, J2, ...;0;76
J2;14.44;14.59;14.55;16.33;1;77;J2, J2, J2, J2, J2, J2, J1, J2, J2, J2, ...;0;77
J2;14.55;14.59;14.75;16.33;1;78;J2, J2, J2, J2, J2, J2, J1, J2, J2, J2, ...;0;78
J2;14.59;15.2;14.75;16.33;1;79;J2, J2, J2, J2, J2, J2, J1, J2, J2, J2, ...;0;79
J2;14.75;15.2;15.12;16.33;1;80;J2, J2, J2, J2, J2, J2, J1, J2, J2, J2, ...;0;80
J2;15.12;15.2;15.27;16.33;1;81;J2, J2, J2, J2, J2, J2, J1, J2, J2, J2, ...;0;81
J2;15.2;16.31;15.27;16.33;1;82;J2, J2, J2, J2, J2, J2, J1, J2, J2, J2, ...;0;82
J2;15.27;16.31;15.35;16.33;1;83;J2, J2, J2, J2, J2, J2, J1, J2, J2, J2, ...;0;83
J2;15.35;16.31;15.53;16.33;1;84;J2, J2, J2, J2, J2, J2, J1, J2, J2, J2, ...;0;84
J2;15.53;16.31;15.67;16.33;1;85;J2, J2, J2, J2, J2, J2, J1, J2, J2, J2, ...;0;85
J2;15.67;16.31;16.57;16.33;1;86;J2, J2, J2, J2, J2, J2, J1, J2, J2, J2, ...;0;86
J2;16.31;16.94;16.57;16.33;1;87;J2, J2, J2, J2, J2, J2, J1, J2, J2, J2, ...;0;87
J2;16.33;16.94;16.57;19.73;1;86;J2, J2, J2, J2, J2, J1, J2, J2, J2, J2, ...;0;87
J2;16.57;16.94;16.6;19.73;1;87;J2, J2, J2, J2, J2, J1, J2, J2, J2, J2, ...;0;87
J2;16.6;16.94;16.76;19.73;1;88;J2, J2, J2, J2, J2, J1, J2, J2, J2, J2, ...;0;88
J2;16.76;16.94;16.77;19.73;1;89;J2, J2, J2, J2, J2, J1, J2, J2, J2, J2, ...;0;89
J2;16.77;16.94;16.8;19.73;1;90;J2, J2, J2, J2, J2, J1, J2, J2, J2, J2, ...;0;90
J2;16.8;16.94;16.92;19.73;1;91;J2, J2, J2, J2, J2, J1, J2, J2, J2, J2, ...;0;91
J2;16.92;16.94;17.31;19.73;1;92;J2, J2, J2, J2, J2, J1, J2, J2, J2, J2, ...;0;92
J2;16.94;17.02;17.31;19.73;1;93;J2, J2, J2, J2, J2, J1, J2, J2, J2, J2, ...;0;93
J2;17.02;18.87;17.31;19.73;1;94;J2, J2, J2, J2, J2, J1, J2, J2, J2, J2, ...;0;94
J2;17.31;18.87;17.32;19.73;1;95;J2, J2, J2, J2, J2, J1, J2, J2, J2, J2, ...;0;95
J2;17.32;18.87;17.79;19.73;1;96;J2, J2, J2, J2, J2, J1, J2, J2, J2, J2, ...;0;96
J2;17.79;18.87;17.84;19.73;1;97;J2, J2, J2, J2, J2, J1, J2, J2, J2, J2, ...;0;97
J2;17.84;18.87;17.85;19.73;1;98;J2, J2, J2, J2, J2, J1, J2, J2, J2, J2, ...;0;98
J2;17.85;18.87;17.98;19.73;1;99;J2, J2, J2, J2, J2, J1, J2, J2, J2, J2, ...;0;99
J2;17.98;18.87;18.05;19.73;1;100;J2, J2, J2, J2, J2, J1, J2, J2, J2, J2, ...;0;100
J2;18.05;18.87;18.11;19.73;1;101;J2, J2, J2, J2, J2, J1, J2, J2, J2, J2, ...;0;101
J2;18.11;18.87;18.66;19.73;1;102;J2, J2, J2, J2, J2, J1, J2, J2, J2, J2, ...;0;102
J2;18.66;18.87;19.04;19.73;1;103;J2, J2, J2, J2, J2, J1, J2, J2, J2, J2, ...;0;103
J2;18.87;20.2;19.04;19.73;1;104;J2, J2, J2, J2, J2, J1, J2, J2, J2, J2, ...;0;104
J2;19.04;20.2;19.04;19.73;1;105;J2, J2, J2, J2, J2, J1, J2, J2, J2, J2, ...;0;105
J2;19.04;20.2;19.43;19.73;1;106;J2, J2, J2, J2, J2, J1, J2, J2, J2, J2, ...;0;106
J2;19.43;20.2;19.86;19.73;1;107;J2, J2, J2, J2, J2, J1, J2, J2, J2, J2, ...;0;107
J2;19.73;20.2;19.86;22.01;1;106;J2, J2, J2, J2, J1, J2, J2, J2, J2, J2, ...;0;107
J2;19.86;20.2;20.28;22.01;1;107;J2, J2, J2, J2, J1, J2, J2, J2, J2, J2, ...;0;107
J2;20.2;20.74;20.28;22.01;1;108;J2, J2, J2, J2, J1, J2, J2, J2, J2, J2, ...;0;108
J2;20.28;20.74;20.94;22.01;1;109;J2, J2, J2, J2, J1, J2, J2, J2, J2, J2, ...;0;109
J2;20.74;21.11;20.94;22.01;1;110;J2, J2, J2, J2, J1, J2, J2, J2, J2, J2, ...;0;110
J2;20.94;21.11;21.07;22.01;1;111;J2, J2, J2, J2, J1, J2, J2, J2, J2, J2, ...;0;111
